Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,B365H,B365D,B365A,FTR
1/1/2013,Man City,Stoke,good,good,2,6,16.4,8.75,9.7,4.7,1.29,5.5,11,H
1/1/2013,Southampton,Arsenal,average,good,14,5,11.68,14.53,6.11,8.37,5,3.75,1.7,D
1/1/2013,Swansea,Aston Villa,good,poor,8,14,12.7,9.95,7.55,5.7,1.57,4,6,D
1/1/2013,Tottenham,Reading,good,average,4,16,15.85,9.2,9.7,4.65,1.33,5,10,H
1/1/2013,West Brom,Fulham,good,poor,6,12,11.7,12.4,6.6,7.4,2,3.5,3.75,A
1/1/2013,West Ham,Norwich,poor,poor,11,9,11.16,10.3,6.53,5.55,2.1,3.4,3.5,H
1/1/2013,Wigan,Man United,average,good,15,1,11.45,14.6,6.15,8.65,6,4.2,1.53,A
2/1/2013,Chelsea,QPR,good,poor,4,17,14.42,12.75,8.58,7.1,1.2,6.5,15,A
2/1/2013,Liverpool,Sunderland,good,good,8,12,17.1,10.45,9.25,6.05,1.4,4.5,8.5,H
2/1/2013,Newcastle,Everton,average,good,13,6,13.2,16.15,6.8,9.15,3,3.4,2.38,A
12/1/2013,Aston Villa,Southampton,poor,average,15,16,9.86,11.55,5.71,6.1,2.55,3.5,2.9,A
12/1/2013,Everton,Swansea,good,good,5,9,15.71,13.19,9.0,7.81,1.57,4.2,6.5,D
12/1/2013,Fulham,Wigan,average,average,13,18,12.29,11.24,7.29,6.0,2.05,3.5,4,D
12/1/2013,Norwich,Newcastle,poor,poor,12,15,10.24,13.24,5.43,7.0,2.2,3.6,3.4,D
12/1/2013,QPR,Tottenham,average,good,16,3,12.52,16.52,7.0,10.19,4.5,3.8,1.85,D
12/1/2013,Reading,West Brom,average,average,17,7,9.1,11.95,4.62,6.76,3,3.4,2.5,H
12/1/2013,Stoke,Chelsea,average,good,10,4,8.52,14.85,4.62,8.7,4.33,3.5,1.95,A
12/1/2013,Sunderland,West Ham,average,average,13,11,10.24,11.3,6.0,6.6,2.38,3.3,3.3,H
