Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
1/1/2013,West Brom,Fulham,A,2,3.5,3.75,,,,,17,10,10,5
1/1/2013,West Ham,Norwich,H,2.1,3.4,3.5,,,,,14,9,8,3
1/1/2013,Wigan,Man United,A,6,4.2,1.53,,,,,7,14,3,9
2/1/2013,Chelsea,QPR,A,1.2,6.5,15,,,,,23,8,11,5
2/1/2013,Liverpool,Sunderland,H,1.4,4.5,8.5,,,,,27,6,16,5
2/1/2013,Newcastle,Everton,A,3,3.4,2.38,,,,,14,7,11,6
12/1/2013,Aston Villa,Southampton,A,2.55,3.5,2.9,,,,,16,11,10,4
12/1/2013,Everton,Swansea,D,1.57,4.2,6.5,,,,,16,4,8,2
12/1/2013,Fulham,Wigan,D,2.05,3.5,4,,,,,14,15,5,6
12/1/2013,Norwich,Newcastle,D,2.2,3.6,3.4,,,,,12,9,3,4
12/1/2013,QPR,Tottenham,D,4.5,3.8,1.85,,,,,4,16,1,8
12/1/2013,Reading,West Brom,H,3,3.4,2.5,,,,,7,11,7,6
12/1/2013,Stoke,Chelsea,A,4.33,3.5,1.95,,,,,11,11,5,9
12/1/2013,Sunderland,West Ham,H,2.38,3.3,3.3,,,,,18,9,14,4
13/01/13,Arsenal,Man City,A,2.63,3.5,2.8,,,,,9,16,4,9
13/01/13,Man United,Liverpool,H,1.91,3.8,4.2,,,,,15,12,10,5
16/01/13,Chelsea,Southampton,D,1.25,6.5,15,,,,,19,7,10,3
19/01/13,Liverpool,Norwich,H,1.33,5.5,10.5,,,,,17,5,10,3
19/01/13,Man City,Fulham,H,1.25,6.5,14,,,,,20,3,11,0
19/01/13,Newcastle,Reading,A,1.75,4,5,,,,,15,6,10,2
19/01/13,Swansea,Stoke,H,2.2,3.4,3.6,,,,,12,7,6,2
19/01/13,West Brom,Aston Villa,D,1.75,4,5,,,,,25,11,9,7
19/01/13,West Ham,QPR,D,2.1,3.5,3.75,,,,,22,9,13,6
19/01/13,Wigan,Sunderland,A,2.15,3.4,3.8,,,,,20,10,11,5
20/01/13,Chelsea,Arsenal,H,1.91,3.6,4,,,,,13,12,8,8
20/01/13,Tottenham,Man United,D,2.9,3.6,2.5,,,,,23,6,18,4
21/01/13,Southampton,Everton,D,3.6,3.5,2.05,,,,,14,10,11,7
23/01/13,Arsenal,West Ham,H,1.44,4.75,8,,,,,23,7,17,5
29/01/13,Aston Villa,Newcastle,A,2.9,3.4,2.6,,,,,10,10,4,7
29/01/13,QPR,Man City,D,7.5,4.5,1.5,,,,,5,15,3,7
29/01/13,Stoke,Wigan,D,2.2,3.3,3.75,,,,,9,11,4,6
29/01/13,Sunderland,Swansea,D,2.5,3.4,3,,,,,4,18,2,8
30/01/13,Arsenal,Liverpool,D,2.4,3.5,3.1,,,,,14,10,6,5
30/01/13,Everton,West Brom,H,1.6,4.1,6.5,,,,,11,7,4,4
30/01/13,Fulham,West Ham,H,2.2,3.5,3.5,,,,,13,8,6,4
