Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
9/1/2010,Arsenal,Everton,good,good,3,11,15.16,14.05,8.89,8.16,H,12,1.4,4.5,8.5,D
9/1/2010,Birmingham,Man United,good,good,7,2,9.6,16.65,5.65,9.75,A,-6,6.5,3.6,1.62,D
11/1/2010,Man City,Blackburn,good,average,5,10,12.32,11.55,6.74,6.15,H,7,1.44,4.33,8,H
16/01/10,Chelsea,Sunderland,good,average,1,10,19.55,10.55,10.6,5.8,H,5,1.22,6,15,H
16/01/10,Everton,Man City,good,good,10,4,13.8,12.3,8.0,6.7,A,-4,2.88,3.25,2.5,H
16/01/10,Man United,Burnley,good,poor,2,13,16.52,10.15,9.76,5.85,H,12,1.17,7,17,H
16/01/10,Stoke,Liverpool,average,good,10,7,9.1,14.75,4.35,8.75,A,-6,3.5,3.2,2.2,D
16/01/10,Tottenham,Hull,good,poor,5,16,15.8,9.05,9.05,5.2,H,14,1.25,6,11,D
16/01/10,Wolves,Wigan,average,poor,14,14,10.4,13.16,6.05,6.84,D,2,2.3,3.25,3.2,A
17/01/10,Aston Villa,West Ham,average,average,5,16,11.05,12.45,6.05,7.2,H,10,1.53,3.8,7,D
17/01/10,Blackburn,Fulham,average,poor,13,8,11.38,10.55,6.0,5.45,A,-8,2.4,3.25,3,H
17/01/10,Bolton,Arsenal,good,good,16,3,13.28,14.7,6.83,8.7,A,-9,6.5,4,1.53,A
20/01/10,Arsenal,Bolton,good,average,3,16,14.67,13.21,8.71,6.79,H,12,1.22,5.5,17,H
20/01/10,Liverpool,Tottenham,good,good,5,3,14.24,16.24,8.48,9.48,A,-5,2.4,3.25,3,H
23/01/10,Man United,Hull,good,average,2,14,16.86,9.0,9.82,5.05,H,18,1.14,6.5,15,H
26/01/10,Bolton,Burnley,poor,poor,15,13,12.9,10.19,6.65,5.81,H,5,1.8,3.6,4.5,H
26/01/10,Portsmouth,West Ham,average,average,16,15,13.3,12.24,7.05,7.0,D,1,2.5,3.25,2.88,D
26/01/10,Tottenham,Fulham,average,poor,3,7,15.82,10.71,9.27,5.62,H,6,1.57,3.75,6.5,H
26/01/10,Wolves,Liverpool,poor,good,16,5,10.33,14.18,5.95,8.32,A,-11,5.5,3.6,1.67,D
27/01/10,Aston Villa,Arsenal,poor,good,5,2,11.33,14.91,6.24,8.95,A,-13,3.2,3.25,2.3,D
27/01/10,Blackburn,Wigan,average,average,11,13,11.36,13.5,6.05,7.2,D,1,1.95,3.4,4,H
27/01/10,Chelsea,Birmingham,good,good,3,7,19.71,9.43,10.71,5.62,H,4,1.22,6,15,H
27/01/10,Everton,Sunderland,good,average,9,11,13.76,10.38,7.9,5.67,H,12,1.67,3.6,5.5,H
30/01/10,Birmingham,Tottenham,average,average,7,4,9.23,15.7,5.5,9.17,A,-5,3.1,3.25,2.38,D
30/01/10,Burnley,Chelsea,poor,good,14,1,10.18,19.95,5.77,11.0,A,-18,13,5,1.29,A
30/01/10,Fulham,Aston Villa,poor,average,9,6,10.64,11.18,5.64,6.05,D,-2,2.7,3.2,2.7,A
30/01/10,Hull,Wolves,average,poor,15,14,8.95,10.14,5.0,5.86,D,-1,2.25,3.25,3.25,D
30/01/10,Liverpool,Bolton,good,average,6,13,13.83,12.95,8.09,6.62,H,4,1.44,4.33,7.5,H
30/01/10,West Ham,Blackburn,average,good,15,10,12.23,11.43,6.86,6.09,D,0,2.1,3.3,3.6,D
30/01/10,Wigan,Everton,average,good,14,9,13.48,13.64,7.24,7.86,A,-11,3,3.3,2.38,A
31/01/10,Arsenal,Man United,good,good,3,2,14.78,17.22,8.91,10.04,D,-1,2.6,3.25,2.8,A
31/01/10,Man City,Portsmouth,good,poor,7,17,12.1,13.33,6.57,7.1,H,8,1.29,5,13,H
1/2/2010,Sunderland,Stoke,poor,average,12,11,10.14,8.95,5.55,4.38,A,-7,2,3.4,3.8,D
2/2/2010,Hull,Chelsea,average,good,15,1,8.91,19.78,4.96,10.91,A,-19,13,5,1.29,D
3/2/2010,Fulham,Portsmouth,poor,poor,10,16,10.83,13.18,5.74,6.95,D,-2,1.67,3.5,6,H
6/2/2010,Bolton,Fulham,average,average,14,9,12.55,10.96,6.36,5.88,D,2,2.25,3.3,3.25,D
6/2/2010,Burnley,West Ham,poor,average,15,14,9.96,12.0,5.65,6.83,A,-9,2.6,3.25,2.8,H
6/2/2010,Hull,Man City,average,good,15,5,8.83,12.14,4.88,6.55,A,-15,5.5,3.4,1.73,H
6/2/2010,Liverpool,Everton,good,good,5,8,13.79,13.48,8.0,7.83,D,0,1.83,3.5,4.33,H
6/2/2010,Man United,Portsmouth,good,poor,2,17,16.96,13.13,9.83,7.0,H,22,1.13,8.5,23,H
6/2/2010,Stoke,Blackburn,good,good,12,11,8.73,11.29,4.32,6.0,D,-3,2.3,3.1,3.4,H
6/2/2010,Sunderland,Wigan,poor,average,13,15,9.96,13.32,5.52,7.09,D,-2,2,3.4,3.8,D
6/2/2010,Tottenham,Aston Villa,average,good,5,7,15.92,11.09,9.29,6.04,D,3,2.1,3.3,3.6,D
7/2/2010,Birmingham,Wolves,average,average,7,16,9.35,10.26,5.52,5.78,D,3,1.8,3.4,5,H
7/2/2010,Chelsea,Arsenal,good,average,2,3,19.83,14.92,10.92,8.83,H,5,1.8,3.6,4.5,H
9/2/2010,Fulham,Burnley,average,average,9,14,10.8,9.88,5.8,5.58,D,0,1.73,3.5,5.25,H
9/2/2010,Man City,Bolton,average,average,6,15,12.35,12.7,6.74,6.57,H,12,1.44,4.2,8,H
9/2/2010,Portsmouth,Sunderland,poor,average,17,12,12.88,10.0,6.92,5.63,A,-6,2.4,3.25,3,D
9/2/2010,Wigan,Stoke,poor,good,14,10,13.35,9.0,7.04,4.61,A,-6,2.2,3.3,3.4,D
10/2/2010,Arsenal,Liverpool,poor,good,3,4,14.88,13.6,8.72,7.84,A,-6,2.1,3.3,3.6,H
10/2/2010,Aston Villa,Man United,good,good,6,2,11.04,17.12,6.0,9.76,A,-21,4.2,3.5,1.91,D
10/2/2010,Blackburn,Hull,average,good,11,13,11.2,8.8,5.92,4.84,D,0,1.83,3.5,4.5,H
10/2/2010,Everton,Chelsea,good,good,9,1,13.17,19.4,7.63,10.6,A,-6,5,3.6,1.73,H
10/2/2010,West Ham,Birmingham,average,average,16,7,12.33,9.58,7.0,5.71,D,0,2.25,3.3,3.25,H
10/2/2010,Wolves,Tottenham,average,good,16,5,10.33,16.4,5.75,9.52,A,-10,4.2,3.4,1.91,H
16/02/10,Stoke,Man City,good,good,11,4,9.04,12.17,4.67,6.63,A,-4,3.1,3.2,2.38,D
17/02/10,Wigan,Bolton,average,poor,13,15,13.46,12.63,7.21,6.5,D,2,2.3,3.25,3.2,D
20/02/10,Arsenal,Sunderland,average,average,3,12,14.73,9.88,8.62,5.48,H,8,1.22,6,15,H
20/02/10,Everton,Man United,good,good,9,2,12.92,16.92,7.52,9.62,A,-9,4.5,3.6,1.8,H
20/02/10,Portsmouth,Stoke,poor,good,16,11,12.84,9.0,6.88,4.68,A,-15,2.38,3.25,3.1,A
20/02/10,West Ham,Hull,average,average,14,14,12.36,8.73,7.12,4.81,D,3,1.75,3.6,4.75,H
20/02/10,Wolves,Chelsea,average,average,15,1,10.24,19.19,5.68,10.38,A,-15,12,5,1.3,A
21/02/10,Aston Villa,Burnley,good,average,7,16,11.0,9.88,6.0,5.48,H,10,1.36,4.5,10,H
21/02/10,Blackburn,Bolton,average,average,10,15,11.54,12.44,6.08,6.24,D,3,1.95,3.25,4.33,H
21/02/10,Fulham,Birmingham,good,average,9,8,11.0,9.56,6.04,5.64,D,1,2.1,3.25,3.75,H
21/02/10,Man City,Liverpool,average,good,4,5,12.04,13.42,6.48,7.81,D,0,2.4,3.3,3,D
21/02/10,Wigan,Tottenham,average,average,12,6,13.32,16.15,6.96,9.31,D,1,3.75,3.5,2,A
23/02/10,Man United,West Ham,average,good,2,9,16.7,12.65,9.44,7.31,H,8,1.2,6.5,15,H
27/02/10,Birmingham,Wigan,average,average,7,11,9.54,13.12,5.65,6.96,D,0,1.91,3.3,4.33,H
27/02/10,Bolton,Wolves,poor,average,14,13,12.35,10.27,6.27,5.73,D,-2,2,3.3,4,H
27/02/10,Burnley,Portsmouth,average,poor,14,15,10.0,12.92,5.65,7.08,D,-1,2,3.4,3.8,A
27/02/10,Chelsea,Man City,good,good,1,4,18.74,11.73,10.07,6.27,H,6,1.44,4.33,7.5,A
27/02/10,Stoke,Arsenal,good,good,10,3,9.19,14.78,4.77,8.67,D,3,5,3.6,1.73,A
28/02/10,Liverpool,Blackburn,average,good,6,10,13.15,11.56,7.59,6.11,D,0,1.36,4.75,9,H
28/02/10,Sunderland,Fulham,average,good,13,10,9.73,11.0,5.42,6.04,A,-10,2.2,3.2,3.5,D
28/02/10,Tottenham,Everton,average,good,6,9,16.04,12.85,9.41,7.5,A,-5,2,3.4,4,H
6/3/2010,Arsenal,Burnley,good,poor,3,14,14.86,10.15,8.75,5.74,H,9,1.14,7.5,21,H
6/3/2010,West Ham,Bolton,good,average,9,10,12.56,12.48,7.19,6.37,H,7,1.8,3.5,4.5,A
6/3/2010,Wolves,Man United,average,average,12,2,10.11,16.54,5.67,9.43,A,-15,10,5,1.33,A
